City: University Park,"Before running your test convert all measurements into meters, as you know Km mixed with meters will destroy your results",,,,,,University Park Raw Data-points
Income: Low,,,,,,,    34.02529 -118.28248
City Limits,Southwest,Southeast,Northwest,Northeast,,,    34.03589 -118.27734
x-coordinate ,34.027423,34.023956,34.037098,34.038191,,,    34.03315 -118.27523
y-coordinate,-118.28392,-118.278759,-118.283991,-118.274013,,,    34.03069 -118.27967
,,,,,,,    34.02604 -118.27725
Point,Coordinates,Liquor Store 1,Liquor Store 2,Grocery Store 1,Grocery Store 2,,    34.03756 -118.27463
1,   34.02529 -118.28248,333.38 m,846.47 m,350.36 m,942.95 m,,    34.02431 -118.27509
2,   34.03589 -118.27734,427.11 m,672.98 m,812.98 m,891.09 m,,    34.03744 -118.27962
3,   34.03315 -118.27523,528.18 m,828.02 m,823.70 m,746.10 m,,    34.02475 -118.28104
4,   34.03069 -118.27967,343.37 m,522.27 m,1.03 km,1.12 km,,    34.02778 -118.28060
5,   34.03756 -118.27463,694.72 m,706.41 m,552.84 m,680.73 m,,    34.03187 -118.27620
6,   34.03744 -118.27962,440.25 m,416.92 m,1.02 km,804.09 m,,    34.03015 -118.27783
7,   34.02475 -118.28104,199.99 m,207.85 m,1.05 km,1.15 km,,    34.02746 -118.28207
8,   34.02778 -118.28060,315.66 m,488.54 m,1.03 km,1.05 km,,    34.03461 -118.28184
9,   34.03187 -118.27620,469.13 m,755.80 m,894.36 m,892.73 m,,    34.02435 -118.28121
10,   34.03015 -118.27783,473.80 m,566.33 m,1.03 km,1.14 km,,    34.03262 -118.28053
11,   34.02746 -118.28207,396.41 m,504.83 m,931.34 m,933.51 m,,    34.03499 -118.27492
12,   34.03461 -118.28184,138.59 m,224.17 m,871.65 m,1.03 km,,    34.03104 -118.28370
13,   34.03262 -118.28053,120.55 m,340.78 m,947.37 m,1.06 km,,    34.03304 -118.28010
14,   34.03499 -118.27492,566.35 m,858.25 m,630.51 m,886.48 m,,    34.03029 -118.28306
15,   34.03104 -118.28370,284.64 m,387.28 m,655.79 m,735.21 m,,    34.02474 -118.27474
16,   34.03304 -118.28010,107.37 m,382.79 m,994.60 m,1.12 km,,    34.03306 -118.28051
17,   34.03029 -118.28306,370.19 m,417.21 m,728.34 m,792.84 m,,    34.02991 -118.27406
18,   34.03306 -118.28051,70.47 m,348.40 m,965.39 m,1.09 km,,    34.0244 -118.2751
19,   34.03457 -118.28002,135.55 m,394.02 m,1.03 km,1.09 km,,    34.03457 -118.28002
20,   34.03074 -118.27848,400.66 m,610.39 m,1.10 km,1.14 km,,    34.03074 -118.27848
21,   34.02933 -118.27609,594.94 m,522.85 m,887.70 m,1.09 km,,    34.03378 -118.27420
22,   34.03049 -118.28382,338.42 m,428.60 m,428.60 m,728.06 m,,    34.02933 -118.27609
23,   34.03383 -118.28111,30.54 m,283.65 m,920.80 m,1.06 km,,    34.02565 -118.28294
24,   34.0262 -118.2791,124.84 m,310.97 m,1.24 km,1.24 km,,    34.03049 -118.28382
25,   34.03711 -118.27579,613.73 m,734.14 m,666.70 m,725.50 m,,    34.03383 -118.28111
26,   34.03442 -118.28310,114.72 m,140.90 m,757.72 m,920.24 m,,    34.02434 -118.28041
27,   34.03723 -118.27593,726.08 m,609.75 m,677.30 m,723.23 m,,    34.0262 -118.2791
28,   34.02658 -118.27787,179.43 m,365.80 m,1.15 km,1.33 km,,    34.03711 -118.27579
29,   34.03646 -118.28308,208.09 m,348.07 m,879.88 m,975.24 m,,    34.03442 -118.28310
30,   34.03359 -118.28370,43.49 m,148.28 m,677.42 m,822.84 m,,    34.03723 -118.27593
31,   34.03386 -118.27736,324.62 m,630.73 m,887.11 m,1.04 km,,    34.02611 -118.28308
32,   34.03638 -118.27911,343.09 m,512.36 m,885.01 m,1.19 km,,    34.03782 -118.28049
33,   34.0260 -118.2775,145.28 m,328.17 m,1.16 km,1.38 km,,    34.02658 -118.27787
34,   34.03745 -118.27843,606.27 m,480.35 m,902.15 m,756.85 m,,    34.0275 -118.2754
35,   34.03008 -118.27660,585.96 m,555.82 m,920.76 m,1.07 km,,    34.03646 -118.28308
36,   34.02473 -118.28009,120.14 m,154.61 m,1.14 km,1.24 km,,    34.02543 -118.27483
37,   34.02677 -118.28158,309.81 m,413.32 m,1.02 km,1.02 km,,    34.03359 -118.28370
38,   34.02804 -118.27715,362.22 m,555.33 m,1.02 km,1.27 km,,    34.03509 -118.27447
39,   34.03309 -118.28266,147.33 m,162.83 m,762.98 m,886.33 m,,    34.03386 -118.27736
40,   34.02874 -118.27927,553.39 m,410.99 m,1.10 km,1.15 km,,    34.03638 -118.27911
41,   34.02478 -118.27849,54.85 m,173.77 m,1.28 km,1.29 km,,    34.0260 -118.2775
42,   34.02806 -118.27776,334.21 m,528.04 m,1.07 km,1.27 km,,    34.03745 -118.27843
