Rolling Hills #3,hls1,hls2,hgs1,hgs2,,Cerritos #36,hls1,hls2,hgs1,hgs2,,La Habra Height #11,hls1,hls2,hgs1,hgs2,,Bel Air #1,hls1,hls2,hgs1,hgs2,,Beverlywood #33,hls1,hls2,hgs1,hgs2,,Santa Clarita #50,hgs1,hgs2,hls1,hls2,,
,2730,4380,2810,4160,,,1490,1490,796,912,,,2710,3080,2610,2940,,,3810,3900,2790,3110,,,269.94,961.64,1010,1430,,,513.3,712.38,1560,1980,,
,2400,2590,2390,2490,,,470,1210,1190,1270,,,1630,1790,1320,1510,,,6690,7130,423.2,2580,,,638.44,944.26,1090,1170,,,1530,2900,2740,3470,,
,1890,2600,2090,2820,,,123,1390,117,1340,,,1680,1710,1710,1850,,,4060,7130,639.52,3370,,,662.44,1250,1310,1420,,,1680,2340,2010,3670,,
,2980,3030,2820,2870,,,1190,1300,1810,2390,,,2500,2610,2480,2860,,,5520,5520,4570,4700,,,1430,1950,658.02,1060,,,1500,2310,1440,1520,,
,2470,3610,3650,3740,,,1410,1550,544,1480,,,2120,2150,1910,2130,,,4830,6480,4580,4620,,,996.24,1660,1310,1570,,,718.84,1510,627.59,1080,,
,1360,1400,1580,2130,,,515,1080,678,1100,,,1480,1550,1360,3230,,,5420,5430,4810,5330,,,667.51,1000,1290,1490,,,399.06,891.91,1020,1230,,
,2610,2920,2570,2740,,,323,440,291,1000,,,1710,1730,1390,1770,,,4910,6000,4770,5080,,,841.63,1090,1320,1430,,,1470,1490,430.1,713.3,,
,3110,3240,2990,3040,,,536,1010,776,1000,,,1820,2740,2650,2870,,,4580,5990,2980,4240,,,921.67,1260,1090,1310,,,872.25,1220,1900,2130,,
,3520,3550,3380,3400,,,467,890,655,1250,,,2990,3260,1950,2320,,,3310,4240,2390,2670,,,892.64,1320,981.79,1260,,,949.1,1270,703.25,1380,,
,1110,2220,2370,3120,,,955,1660,1060,1730,,,1760,2080,1620,1830,,,4190,6830,4180,4340,,,581.11,1280,940.82,1280,,,2470,2900,2550,3530,,
,2840,4480,3910,4520,,,495,1050,955,955,,,2710,2710,2690,2860,,,4010,4640,3110,3660,,,284.85,1180,1030,1360,,,954.91,1090,888.87,1530,,
,2560,2590,2500,2720,,,388,1270,1200,1200,,,1770,1780,1830,2010,,,5240,6200,4960,5040,,,746.35,1420,695.01,1310,,,563.2,658.3,488.11,563.5,,
,2760,2780,2680,2730,,,794,1070,873,1550,,,2500,2600,2620,2720,,,4270,4310,3250,5330,,,524.92,1270,868.47,1300,,,873.54,1880,843.36,879.76,,
,421,1570,1690,3370,,,400,411,791,966,,,2670,2870,2850,2950,,,5490,5590,4490,5430,,,916.16,1060,1070,1680,,,1390,3220,335.82,443.49,,
,1230,2280,2430,2640,,,536,1240,1280,1390,,,2530,2950,2880,3050,,,4050,4980,3520,4100,,,565.39,1180,700.59,902.36,,,1460,2180,2010,2380,,
,1390,1440,1590,2710,,,1170,1420,1340,1940,,,2000,3120,2630,3030,,,3500,4280,2870,3790,,,824.1,1160,1420,1420,,,419.45,2380,133.14,404.4,,
,2780,2850,2900,3010,,,481,678,547,688,,,875,939,1070,1070,,,4460,6110,4310,4330,,,416.72,1140,1030,1130,,,1190,1280,1410,1550,,
,2460,2530,2500,2620,,,586,2070,1420,2440,,,1720,2970,2230,2530,,,3320,6600,3020,3030,,,664.75,1250,1340,1420,,,1910,2030,1690,1760,,
,2540,2560,2450,2530,,,683,1110,651,763,,,1980,3040,2140,2430,,,2580,2660,1500,2610,,,445.37,1200,911.47,1200,,,2030,2180,1950,2240,,
