Canoga Park #187,ls1,ls2,gs1,gs2,,Valley Glen #208,ls1,ls2,gs1,gs2,,Florence #257,ls1,ls2,gs1,gs2,,University Park #264,ls1,ls2,gs1,gs2,,Vermont Knolls #259,ls1,ls2,gs1,gs2,,Long Beach #189,gs1,gs2,ls1,ls2,,
,276,1190,1620,1850,,,751,768,1380,1460,,,221,587,1000,1270,,,333.38,846.47,350.36,942.95,,,657.55,749.91,347.79,1860,,,1020,1380,333.63,925.48,,
,408,634,329,625,,,373,546,734,1490,,,449,514,843,1280,,,427.11,672.98,812.98,891.09,,,207.91,938.64,1180,1690,,,1300,1570,703.74,718.57,,
,303,442,248,1910,,,755,989,985,1610,,,391,472,511,976,,,528.18,828.02,746.1,823.7,,,205.57,712.44,799.39,1610,,,1150,1590,1070,1230,,
,287,597,1790,2800,,,157,188,770,1010,,,336,404,1230,1620,,,343.37,522.27,1030,1120,,,918.24,971.24,1040,1290,,,1180,1410,237.86,843.85,,
,418,441,334,720,,,624,926,1380,1640,,,504,605,547,1070,,,694.72,706.41,552.84,680.73,,,749.97,1030,134.62,1470,,,366.92,1230,210.19,467.4,,
,733,870,1120,2730,,,483,606,563,1040,,,336,700,669,1310,,,416.92,440.25,804.09,1020,,,650.47,902.23,765.1,804.09,,,795.9,953.99,304.71,378.13,,
,453,512,455,1640,,,600,675,612,708,,,294,767,205,980,,,199.99,207.85,1050,1150,,,840.05,927.86,202.15,1600,,,929.05,1260,900.31,926.38,,
,653,862,629,1500,,,279,533,531,1320,,,537,797,429,791,,,315.66,488.54,1030,1050,,,373.05,423.77,603.46,2130,,,727.08,1580,549.72,831.16,,
,859,1100,1910,1970,,,777,871,858,1290,,,510,800,773,1170,,,469.13,755.8,892.73,894.36,,,301.41,988.93,1090,1610,,,1170,1430,527.39,1180,,
,214,390,181,460,,,350,472,473,1390,,,216,499,211,1050,,,473.8,566.33,1030,1140,,,701.02,883.86,649.6,1380,,,440.53,525.05,267.8,598.41,,
,389,1180,321,773,,,745,934,631,1450,,,122,406,890,1140,,,396.41,504.83,931.34,933.51,,,314.35,781.94,656.56,1720,,,391.85,750.57,614.38,747.88,,
,216,658,970,1130,,,238,559,568,1450,,,428,747,586,1230,,,138.59,224.17,871.65,1030,,,236.57,779.51,671.8,1640,,,360.52,825.07,30.9,83.44,,
,493,547,588,1600,,,657,707,660,1700,,,227,443,112,961,,,120.55,340.78,947.37,1060,,,453.24,1200,902.35,1420,,,216.79,326.44,338.64,423.78,,
,524,601,737,1040,,,1040,1080,1050,1280,,,672,816,325,660,,,566.35,858.25,630.51,886.48,,,238.28,715.4,714.06,1650,,,446.24,1180,297.1,447.63,,
,252,385,448,589,,,569,613,574,1570,,,523,542,531,1130,,,284.64,387.28,655.79,735.21,,,625.05,1320,725.11,1560,,,380.79,1170,341.5,507.54,,
,599,753,636,830,,,608,797,967,1130,,,350,638,810,1190,,,107.37,382.79,994.6,1120,,,148.35,682.03,776.06,1470,,,1110,1260,373.25,736.54,,
,762,1070,1180,1190,,,426,593,653,1060,,,439,691,436,1340,,,370.19,417.21,728.34,792.84,,,350.98,548.59,834.88,1000,,,687.73,953.19,415.23,1090,,
,736,803,1020,1140,,,487,868,912,1050,,,625,677,578,588,,,70.47,348.4,965.39,1090,,,687.19,751.13,233.75,1340,,,745.54,1150,1050,1080,,
,300,752,437,835,,,1040,1130,1280,1320,,,247,641,819,1180,,,135.55,394.02,1030,1090,,,170.22,592.97,836.21,1680,,,597.94,702.16,528.17,698.48,,
,594,653,703,831,,,304,560,297,504,,,307,799,446,1060,,,400.66,610.39,1100,1140,,,500.97,734.31,440.32,1240,,,311.09,453.3,127.81,153.36,,
,723,800,805,1160,,,243,670,661,1180,,,159,886,666,1040,,,522.85,594.94,887.7,1090,,,485.92,504.33,972.08,1640,,,213.97,484.11,194.73,242.58,,
,704,895,783,1140,,,190,235,281,565,,,294,707,412,1070,,,338.42,428.6,428.6,728.06,,,688.46,715.86,919.88,1920,,,306.46,779.08,122.27,334.9,,
,115,188,247,895,,,762,950,964,1180,,,215,853,168,1000,,,30.54,283.65,920.8,1060,,,537.9,713.94,753.01,1850,,,404.67,716.81,125.2,227.75,,
,596,885,650,926,,,395,742,744,1960,,,621,878,204,678,,,124.84,310.97,1240,1240,,,626.25,937.95,555.94,1770,,,901.22,1530,837.4,1020,,
,904,1010,768,1020,,,304,435,479,885,,,740,820,144,841,,,613.73,734.14,666.7,725.5,,,774.28,800.18,768.49,2080,,,413.24,430.78,260.88,453.81,,
,,,,,,,,,,,,,,,,,,,114.72,140.9,757.72,920.24,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,609.75,726.08,677.3,723.23,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,179.43,365.8,1150,1330,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,208.09,348.07,879.88,975.24,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,43.49,148.28,677.42,822.84,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,324.62,630.73,887.11,1040,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,419,508,391,418,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,348.41,436.36,1130,1230,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,480.35,606.27,756.85,902.15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,555.82,585.96,920.76,1070,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,120.14,154.61,1140,1240,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,309.81,413.32,1020,1020,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,147,159,814,981,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,147.33,162.83,762.98,886.33,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,410.99,553.39,1100,1150,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,54.85,173.77,1280,1290,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,138,176,794,825,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,441.68,468.75,840.36,1080,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,313.47,509.81,1050,1140,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,373.28,427.42,901.85,1090,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,541,673,1390,1460,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,378,415,550,564,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,290,440,1210,1210,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,108.03,217.47,711.69,846.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,205.31,263.69,945.56,1090,,,,,,,,,,,,,,
